## Header 
## Datatype: 
## Date: 2020-01-15
## Sampling Rate: 100 Hz
## time [s]; Force [N]
0;1.6
0.01;2.0139
0.02;2.1761
0.03;1.9848
0.04;1.5352
0.05;1.0638
0.06;0.81219
0.07;0.88836
0.08;1.2068
0.09;1.5404
0.1;1.6524
0.11;1.4327
0.12;0.95864
0.13;0.448
0.14;0.13243
0.15;0.12636
0.16;0.36586
0.17;0.65059
0.18;0.76195
0.19;0.58763
0.2;0.18173
0.21;-0.27134
0.22;-0.56496
0.23;-0.58627
0.24;-0.37444
0.25;-0.091007
0.26;0.076399
0.27;0.019651
0.28;-0.23455
0.29;-0.54732
0.3;-0.7507
0.31;-0.74108
0.32;-0.53089
0.33;-0.2332
0.34;0.006761
0.35;0.091539
0.36;0.018523
0.37;-0.12782
0.38;-0.22881
0.39;-0.19659
0.4;-0.015991
0.41;0.25567
0.42;0.52494
0.43;0.71147
0.44;0.78389
0.45;0.76742
0.46;0.72451
0.47;0.72231
0.48;0.8033
0.49;0.97016
0.5;1.1878
0.51;1.3987
0.52;1.5455
0.53;1.5934
0.54;1.5454
0.55;1.4444
0.56;1.3584
0.57;1.3505
0.58;1.4469
0.59;1.6173
0.6;1.7823
0.61;1.8499
0.62;1.7639
0.63;1.5408
0.64;1.27
0.65;1.0715
0.66;1.0313
0.67;1.148
0.68;1.3257
0.69;1.4206
0.7;1.3208
0.71;1.0152
0.72;0.60853
0.73;0.26987
0.74;0.13903
0.75;0.24357
0.76;0.47607
0.77;0.64949
0.78;0.60273
0.79;0.29691
0.8;-0.15498
0.81;-0.54633
0.82;-0.69289
0.83;-0.54087
0.84;-0.20305
0.85;0.10135
0.86;0.17126
0.87;-0.058103
0.88;-0.47331
0.89;-0.84375
0.9;-0.95292
0.91;-0.72467
0.92;-0.27049
0.93;0.17163
0.94;0.37303
0.95;0.24681
0.96;-0.1004
0.97;-0.42855
0.98;-0.50244
0.99;-0.22826
1;0.29098
1.01;0.81375
1.02;1.0985
1.03;1.042
1.04;0.73792
1.05;0.42123
1.06;0.33157
1.07;0.57519
1.08;1.0647
1.09;1.5709
1.1;1.8552
1.11;1.8054
1.12;1.4972
1.13;1.1461
1.14;0.98218
1.15;1.1181
1.16;1.4882
1.17;1.8908
1.18;2.1059
1.19;2.02
1.2;1.6861
1.21;1.288
1.22;1.0315
1.23;1.0292
1.24;1.2416
1.25;1.5071
1.26;1.6384
1.27;1.5278
1.28;1.2025
1.29;0.80224
1.3;0.49602
1.31;0.38857
1.32;0.46882
1.33;0.62518
1.34;0.71403
1.35;0.63963
1.36;0.40119
1.37;0.085056
1.38;-0.18814
1.39;-0.32861
1.4;-0.31918
1.41;-0.21523
1.42;-0.10831
1.43;-0.076919
1.44;-0.15064
1.45;-0.30261
1.46;-0.46881
1.47;-0.5807
1.48;-0.59456
1.49;-0.50661
1.5;-0.35106
1.51;-0.18467
1.52;-0.064318
1.53;-0.024587
1.54;-0.062313
1.55;-0.13462
1.56;-0.17403
1.57;-0.11782
1.58;0.059412
1.59;0.3264
1.6;0.60283
1.61;0.79518
1.62;0.846
1.63;0.77027
1.64;0.65553
1.65;0.62012
1.66;0.74806
